X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8362675.36888583,4872909.92837448,1,5717702N,Bus,Infodev,57,Northbound,17702,2nd St & 64th Av,40.047931,-75.123191,Fall 2021,3,3,1,0,1,0
-8362653.32762665,4872923.888647,2,5717937S,Bus,Infodev,57,Southbound,17937,2nd St & 64th Av - FS,40.048027,-75.122993,Fall 2021,1,7,1,5,1,2
-8362624.49587854,4873141.87503597,3,5717938S,Bus,Infodev,57,Southbound,17938,2nd St & 65th Av,40.049526,-75.122734,Fall 2021,2,4,2,4,1,0
-8362641.41644114,4873165.1427122,4,5717701N,Bus,Infodev,57,Northbound,17701,2nd St & 65th Av,40.049686,-75.122886,Fall 2021,8,1,3,0,0,0
-8362593.88301857,4873362.6293133,5,5717939S,Bus,Infodev,57,Southbound,17939,2nd St & 66th Av,40.051044,-75.122459,Fall 2021,7,4,3,0,0,0
-8362609.13378881,4873385.89750773,6,5717699N,Bus,Infodev,57,Northbound,17699,2nd St & 66th Av,40.051204,-75.122596,Fall 2021,7,4,2,1,0,2
-8363800.69761826,4865824.13726214,7,5718060S,Bus,Infodev,57,Southbound,18060,2nd St & Allegheny Av,39.999187,-75.1333,Fall 2021,86,112,39,36,26,34
-8364920.12641768,4858976.03470308,8,524171S,Bus,Infodev,5,Southbound,24171,2nd St & Arch St,39.952045,-75.143356,Fall 2021,0,12,0,4,0,8
-8364658.52561431,4860569.31999527,9,524165S,Bus,Infodev,5,Southbound,24165,2nd St & Brown St,39.963016,-75.141006,Fall 2021,0,2,2,0,1,1
-8364796.11650493,4859741.63948444,10,524168S,Bus,Infodev,5,Southbound,24168,2nd St & Callowhill St,39.957317,-75.142242,Fall 2021,0,1,1,4,0,2
-8363909.45676077,4865156.14418797,11,5718063S,Bus,Infodev,57,Southbound,18063,2nd St & Cambria St,39.99459,-75.134277,Fall 2021,13,25,6,10,5,4
-8362682.15937477,4872695.87332436,12,5717936S,Bus,Infodev,57,Southbound,17936,2nd St & Chelten Av,40.046459,-75.123252,Fall 2021,9,9,1,1,1,4
-8362700.86104922,4872721.9028696,13,5717703N,Bus,Infodev,57,Northbound,17703,2nd St & Chelten Av,40.046638,-75.12342,Fall 2021,9,9,0,0,0,1
-8362578.63224833,4873603.89405738,14,57864N,Bus,Infodev,57,Northbound,864,2nd St & Cheltenham Av - FS,40.052703,-75.122322,Fall 2021,11,12,0,7,2,2
-8365005.84242559,4858458.64592072,15,2120975W,Bus,Infodev,21,Westbound,20975,2nd St & Chestnut St,39.948482,-75.144126,Fall 2021,6,1,18,1,9,1
-8365005.84242559,4858458.64592072,16,4220975W,Bus,Infodev,42,Westbound,20975,2nd St & Chestnut St,39.948482,-75.144126,Fall 2021,19,5,9,0,6,0
-8363840.66131546,4865576.3773518,17,5718061S,Bus,Infodev,57,Southbound,18061,2nd St & Clearfield St - FS,39.997482,-75.133659,Fall 2021,9,31,6,16,3,11
-8363073.78134338,4870267.57372513,18,J24582W,Bus,Infodev,J,Westbound,24582,2nd St & Duncannon Av,40.029758,-75.12677,Fall 2021,25,14,3,2,4,6
-8363059.30980958,4870239.22453845,19,J24422E,Bus,Infodev,J,Eastbound,24422,2nd St & Duncannon Av,40.029563,-75.12664,Fall 2021,5,23,3,5,2,2
-8363629.15428295,4866876.85891003,20,5731541S,Bus,Infodev,57,Southbound,31541,2nd St & Erie Av - FS,40.006431,-75.131759,Fall 2021,11,2,7,1,5,1
-8364684.0177777,4860424.22765488,21,524166S,Bus,Infodev,5,Southbound,24166,2nd St & Fairmount Av,39.962017,-75.141235,Fall 2021,1,1,0,3,1,1
-8363021.90646067,4870465.00261628,22,J24423E,Bus,Infodev,J,Eastbound,24423,2nd St & Fisher Av,40.031116,-75.126304,Fall 2021,7,4,2,0,2,1
-8363043.94771985,4870451.627339,23,J24581W,Bus,Infodev,J,Westbound,24581,2nd St & Fisher Av - FS,40.031024,-75.126502,Fall 2021,5,3,2,1,0,0
-8364533.62514564,4861344.48886734,24,524162S,Bus,Infodev,5,Southbound,24162,2nd St & Germantown Av,39.968353,-75.139884,Fall 2021,0,4,0,2,1,3
-8364502.23304924,4861546.67889479,25,5721190S,Bus,Infodev,57,Southbound,21190,2nd St & Girard Av,39.969745,-75.139602,Fall 2021,37,48,26,27,19,27
-8363671.67832843,4866613.52269941,26,5718056S,Bus,Infodev,57,Southbound,18056,2nd St & Glenwood Av,40.004619,-75.132141,Fall 2021,3,6,4,1,0,0
-8362724.68342025,4872502.18075442,27,5717704N,Bus,Infodev,57,Northbound,17704,2nd St & Godfrey Av,40.045127,-75.123634,Fall 2021,22,13,7,6,5,7
-8362705.9817458,4872509.45142817,28,5717932S,Bus,Infodev,57,Southbound,17932,2nd St & Godfrey Av - FS,40.045177,-75.123466,Fall 2021,17,50,7,12,4,9
-8364707.72882924,4860278.99219998,29,567S,Bus,Infodev,5,Southbound,67,2nd St & Green St,39.961017,-75.141448,Fall 2021,1,24,1,6,1,3
-8364707.72882924,4860278.99219998,30,MFO67W,Bus,Infodev,MFO,Westbound,67,2nd St & Green St,39.961017,-75.141448,Fall 2021,8,5,12,2,13,2
-8363872.94396779,4865370.18188485,31,5718062S,Bus,Infodev,57,Southbound,18062,2nd St & Indiana Av,39.996063,-75.133949,Fall 2021,14,23,7,15,7,18
-8365673.42541188,4854403.67512899,32,5717380N,Bus,Infodev,57,Northbound,17380,2nd St & Jackson St,39.920551,-75.150123,Fall 2021,15,4,5,2,1,1
-8363983.37290265,4864711.08261644,33,5718065S,Bus,Infodev,57,Southbound,18065,2nd St & Lehigh Av,39.991527,-75.134941,Fall 2021,11,78,8,29,8,19
-8363165.3972843,4869965.33195495,34,J24583W,Bus,Infodev,J,Westbound,24583,2nd St & Lindley Av,40.027679,-75.127593,Fall 2021,12,6,4,2,2,0
-8363145.02581749,4869966.49496479,35,J24421E,Bus,Infodev,J,Eastbound,24421,2nd St & Lindley Av - FS,40.027687,-75.12741,Fall 2021,5,8,1,2,2,3
-8364965.99004788,4858691.85234737,36,MFO20961W,Bus,Infodev,MFO,Westbound,20961,2nd St & Market St,39.950088,-75.143768,Fall 2021,0,15,14,12,17,7
-8364960.86935131,4858725.68661127,37,531442S,Bus,Infodev,5,Southbound,31442,2nd St & Market St - MBNS,39.950321,-75.143722,Fall 2021,10,92,8,50,1,39
-8364746.02273408,4860044.58665636,38,524167S,Bus,Infodev,5,Southbound,24167,2nd St & Noble St,39.959403,-75.141792,Fall 2021,0,2,0,0,0,0
-8363728.56258823,4866259.80282884,39,5718058S,Bus,Infodev,57,Southbound,18058,2nd St & Ontario St,40.002185,-75.132652,Fall 2021,26,22,11,6,6,6
-8365816.91623551,4853527.74235427,40,57855N,Bus,Infodev,57,Northbound,855,2nd St & Oregon Av - FS,39.914516,-75.151412,Fall 2021,31,1,13,0,11,0
-8364629.6938662,4860747.23892193,41,524164S,Bus,Infodev,5,Southbound,24164,2nd St & Poplar St,39.964241,-75.140747,Fall 2021,1,3,2,1,1,0
-8365762.592324,4853860.54417344,42,5717373N,Bus,Infodev,57,Northbound,17373,2nd St & Porter St,39.916809,-75.150924,Fall 2021,39,1,16,0,8,0
-8364875.04202391,4859246.42934736,43,524170S,Bus,Infodev,5,Southbound,24170,2nd St & Race St,39.953907,-75.142951,Fall 2021,2,5,0,5,0,2
-8365732.87001996,4854038.19785262,44,5717376N,Bus,Infodev,57,Northbound,17376,2nd St & Ritner St,39.918033,-75.150657,Fall 2021,30,1,13,2,7,0
-8365793.20518397,4853675.05622028,45,5717371N,Bus,Infodev,57,Northbound,17371,2nd St & Shunk St,39.915531,-75.151199,Fall 2021,21,0,8,0,4,0
-8365644.59366376,4854579.16124973,46,5717383N,Bus,Infodev,57,Northbound,17383,2nd St & Snyder Av,39.92176,-75.149864,Fall 2021,33,17,15,4,9,1
-8363944.29976138,4864934.99128115,47,5718064S,Bus,Infodev,57,Southbound,18064,2nd St & Somerset St,39.993068,-75.13459,Fall 2021,6,15,2,7,3,4
-8363693.71958761,4866478.80538682,48,5718057S,Bus,Infodev,57,Southbound,18057,2nd St & Tioga St,40.003692,-75.132339,Fall 2021,19,13,13,4,8,2
-8364835.1896462,4859505.64916935,49,524169S,Bus,Infodev,5,Southbound,24169,2nd St & Vine St,39.955692,-75.142593,Fall 2021,0,1,0,3,0,1
-8365043.2457745,4858237.64214337,50,2120974W,Bus,Infodev,21,Westbound,20974,2nd St & Walnut St,39.94696,-75.144462,Fall 2021,9,2,12,2,7,1
-8365043.2457745,4858237.64214337,51,4220974W,Bus,Infodev,42,Westbound,20974,2nd St & Walnut St,39.94696,-75.144462,Fall 2021,15,4,11,2,4,1
-8363763.40558885,4866044.72871074,52,5718059S,Bus,Infodev,57,Southbound,18059,2nd St & Westmoreland St,40.000705,-75.132965,Fall 2021,25,23,7,14,5,10
-8364578.70953941,4861065.17708899,53,524163S,Bus,Infodev,5,Southbound,24163,2nd St & Wildley St,39.96643,-75.140289,Fall 2021,2,8,1,2,4,3
-8365702.25715999,4854222.53141553,54,5717378N,Bus,Infodev,57,Northbound,17378,2nd St & Wolf St,39.919303,-75.150382,Fall 2021,35,5,9,3,10,3
-8353861.3142438,4891195.25539982,55,2423657N,Bus,Infodev,24,Northbound,23657,2nd St Pk & Hampton  Av - FS,40.173557,-75.044013,Fall 2021,0,2,0,1,0,0
-8353938.6812899,4890828.41920216,56,2423656N,Bus,Infodev,24,Northbound,23656,2nd St Pk & Knowles Av,40.171039,-75.044708,Fall 2021,0,1,1,1,0,0
-8354060.13085436,4890286.63956113,57,2423654N,Bus,Infodev,24,Northbound,23654,2nd St Pk & Madison Av - FS,40.16732,-75.045799,Fall 2021,0,0,0,0,0,0
-8354064.36099501,4890325.53482485,58,2423682S,Bus,Infodev,24,Southbound,23682,2nd St Pk & Madison Av - MBNS,40.167587,-75.045837,Fall 2021,3,0,0,0,0,0
-8353998.90513442,4890556.72443733,59,2423655N,Bus,Infodev,24,Northbound,23655,2nd St Pk & Rozel Av - FS,40.169174,-75.045249,Fall 2021,0,3,0,0,0,0
-8354005.69562336,4890581.63554994,60,2423681S,Bus,Infodev,24,Southbound,23681,2nd St Pk & Rozel Av - MBNS,40.169345,-75.04531,Fall 2021,3,0,0,0,0,0
-8365123.06184939,4858982.71461099,61,5717571N,Bus,Infodev,57,Northbound,17571,3rd St & Arch St,39.952091,-75.145179,Fall 2021,21,43,12,18,12,15
-8365406.70391194,4857294.8737639,62,5717552N,Bus,Infodev,57,Northbound,17552,3rd St & Bainbridge St,39.940467,-75.147727,Fall 2021,29,14,11,8,11,7
-8364859.79125367,4860609.696419,63,517605N,Bus,Infodev,5,Northbound,17605,3rd St & Brown St,39.963294,-75.142814,Fall 2021,2,0,1,0,1,0
-8364859.79125367,4860609.696419,64,5717605N,Bus,Infodev,57,Northbound,17605,3rd St & Brown St,39.963294,-75.142814,Fall 2021,8,14,1,10,1,6
-8364999.94249258,4859751.07921369,65,517581N,Bus,Infodev,5,Northbound,17581,3rd St & Callowhill St,39.957382,-75.144073,Fall 2021,3,0,0,0,2,0
-8364999.94249258,4859751.07921369,66,5717581N,Bus,Infodev,57,Northbound,17581,3rd St & Callowhill St,39.957382,-75.144073,Fall 2021,3,3,3,6,1,1
-8365539.28542547,4856511.74563415,67,5717541N,Bus,Infodev,57,Northbound,17541,3rd St & Carpenter St,39.935073,-75.148918,Fall 2021,24,10,8,5,2,6
-8365471.2692166,4856915.49753433,68,5717546N,Bus,Infodev,57,Northbound,17546,3rd St & Catharine St,39.937854,-75.148307,Fall 2021,17,5,11,4,10,0
-8365209.66841323,4858467.50359904,69,5717567N,Bus,Infodev,57,Northbound,17567,3rd St & Chestnut St,39.948543,-75.145957,Fall 2021,52,49,29,21,17,20
-8365505.22166129,4856707.30410652,70,5717543N,Bus,Infodev,57,Northbound,17543,3rd St & Christian St,39.93642,-75.148612,Fall 2021,39,14,13,10,6,5
-8388684.38867325,4843874.08136248,71,3730382E,Bus,Infodev,37,Eastbound,30382,3rd St & Crosby St,39.847969,-75.356834,Fall 2021,2,0,0,0,0,0
-8365574.0171066,4856309.65807182,72,57856N,Bus,Infodev,57,Northbound,856,3rd St & Ellsworth St,39.933681,-75.14923,Fall 2021,34,23,19,8,24,9
-8364886.17397299,4860460.2463764,73,517604N,Bus,Infodev,5,Northbound,17604,3rd St & Fairmount Av,39.962265,-75.143051,Fall 2021,4,0,2,0,0,0
-8364886.17397299,4860460.2463764,74,5717604N,Bus,Infodev,57,Northbound,17604,3rd St & Fairmount Av,39.962265,-75.143051,Fall 2021,7,9,3,8,0,6
-8365592.71878105,4856203.38953713,75,5717538N,Bus,Infodev,57,Northbound,17538,3rd St & Federal St,39.932949,-75.149398,Fall 2021,17,11,7,5,5,4
-8365446.66760913,4857052.84370417,76,5717548N,Bus,Infodev,57,Northbound,17548,3rd St & Fitzwater St,39.9388,-75.148086,Fall 2021,15,12,6,6,3,4
-8364759.60371196,4861234.24474637,77,517608N,Bus,Infodev,5,Northbound,17608,3rd St & George St,39.967594,-75.141914,Fall 2021,6,6,1,1,1,0
-8364759.60371196,4861234.24474637,78,5717608N,Bus,Infodev,57,Northbound,17608,3rd St & George St,39.967594,-75.141914,Fall 2021,22,48,5,13,0,5
-8364710.28917753,4861531.13684286,79,521959N,Bus,Infodev,5,Northbound,21959,3rd St & Girard Av,39.969638,-75.141471,Fall 2021,34,9,9,4,8,2
-8364710.28917753,4861531.13684286,80,5721959N,Bus,Infodev,57,Northbound,21959,3rd St & Girard Av,39.969638,-75.141471,Fall 2021,89,53,25,34,35,24
-8364907.32467624,4860319.51267826,81,524867N,Bus,Infodev,5,Northbound,24867,3rd St & Green St,39.961296,-75.143241,Fall 2021,10,0,2,0,5,0
-8364907.32467624,4860319.51267826,82,5724867N,Bus,Infodev,57,Northbound,24867,3rd St & Green St,39.961296,-75.143241,Fall 2021,24,24,12,10,6,5
-8365361.73083766,4857565.80342847,83,5717557N,Bus,Infodev,57,Northbound,17557,3rd St & Lombard St,39.942333,-75.147323,Fall 2021,24,36,11,14,9,8
-8388532.32624882,4844087.51622301,84,3724963W,Bus,Infodev,37,Westbound,24963,3rd St & Madison St,39.849441,-75.355468,Fall 2021,0,4,0,0,0,2
-8388534.88659711,4844052.1367585,85,3724873E,Bus,Infodev,37,Eastbound,24873,3rd St & Madison St,39.849197,-75.355491,Fall 2021,2,0,0,0,0,0
-8365174.9367321,4858682.41362479,86,57857N,Bus,Infodev,57,Northbound,857,3rd St & Market St,39.950023,-75.145645,Fall 2021,155,297,73,116,61,82
-8365427.96593468,4857163.04142256,87,5724866N,Bus,Infodev,57,Northbound,24866,3rd St & Monroe St,39.939559,-75.147918,Fall 2021,14,14,15,6,5,1
-8365339.68957848,4857700.39985134,88,5717558N,Bus,Infodev,57,Northbound,17558,3rd St & Pine St,39.94326,-75.147125,Fall 2021,18,11,9,5,4,2
-8364822.38790476,4860839.17705328,89,517606N,Bus,Infodev,5,Northbound,17606,3rd St & Poplar St,39.964874,-75.142478,Fall 2021,3,0,1,0,0,0
-8364822.38790476,4860839.17705328,90,5717606N,Bus,Infodev,57,Northbound,17606,3rd St & Poplar St,39.964874,-75.142478,Fall 2021,3,16,2,9,3,7
-8365486.63130632,4856820.83722018,91,5717544N,Bus,Infodev,57,Northbound,17544,3rd St & Queen St,39.937202,-75.148445,Fall 2021,14,10,9,5,6,3
-8365079.75856748,4859238.00663189,92,517575N,Bus,Infodev,5,Northbound,17575,3rd St & Race St,39.953849,-75.14479,Fall 2021,9,0,3,0,6,0
-8365079.75856748,4859238.00663189,93,5717575N,Bus,Infodev,57,Northbound,17575,3rd St & Race St,39.953849,-75.14479,Fall 2021,10,15,7,12,5,10
-8365641.14275955,4855843.36251202,94,5717533N,Bus,Infodev,57,Northbound,17533,3rd St & Reed St,39.930469,-75.149833,Fall 2021,42,8,18,6,12,0
-8365385.55320868,4857419.01264487,95,5717554N,Bus,Infodev,57,Northbound,17554,3rd St & South St,39.941322,-75.147537,Fall 2021,31,18,29,12,15,13
-8364920.12641768,4860222.49618186,96,570N,Bus,Infodev,5,Northbound,70,3rd St & Spring Garden St,39.960628,-75.143356,Fall 2021,10,0,6,0,4,0
-8364920.12641768,4860222.49618186,97,5770N,Bus,Infodev,57,Northbound,70,3rd St & Spring Garden St,39.960628,-75.143356,Fall 2021,16,29,6,13,5,4
-8365304.84657786,4857907.45249365,98,5717560N,Bus,Infodev,57,Northbound,17560,3rd St & Spruce St,39.944686,-75.146812,Fall 2021,14,35,8,11,11,6
-8364681.45742942,4861706.31315411,99,5717609N,Bus,Infodev,57,Northbound,17609,3rd St & Thompson St,39.970844,-75.141212,Fall 2021,10,13,7,7,7,3
-8365035.56472963,4859516.68612987,100,517579N,Bus,Infodev,5,Northbound,17579,3rd St & Vine St,39.955768,-75.144393,Fall 2021,6,0,1,0,2,0
-8365035.56472963,4859516.68612987,101,5717579N,Bus,Infodev,57,Northbound,17579,3rd St & Vine St,39.955768,-75.144393,Fall 2021,4,14,3,3,0,4
-8365247.96231806,4858244.32155473,102,5717564N,Bus,Infodev,57,Northbound,17564,3rd St & Walnut St,39.947006,-75.146301,Fall 2021,16,63,8,24,7,12
-8388786.24600732,4843823.18826372,103,3724964W,Bus,Infodev,37,Westbound,24964,3rd St & Welsh St,39.847618,-75.357749,Fall 2021,9,5,2,2,3,1
-8365623.33164102,4856023.37439401,104,5717535N,Bus,Infodev,57,Northbound,17535,3rd St & Wharton St,39.931709,-75.149673,Fall 2021,34,5,12,4,9,6
-8364786.76566771,4861072.43938624,105,517607N,Bus,Infodev,5,Northbound,17607,3rd St & Wildey St,39.96648,-75.142158,Fall 2021,4,2,1,1,0,0
-8364786.76566771,4861072.43938624,106,5717607N,Bus,Infodev,57,Northbound,17607,3rd St & Wildey St,39.96648,-75.142158,Fall 2021,9,17,2,18,0,13
-8364972.78053682,4859902.26133069,107,517602N,Bus,Infodev,5,Northbound,17602,3rd St & Willow St,39.958423,-75.143829,Fall 2021,3,0,2,0,1,0
-8364972.78053682,4859902.26133069,108,5717602N,Bus,Infodev,57,Northbound,17602,3rd St & Willow St,39.958423,-75.143829,Fall 2021,5,9,2,1,2,2
-8365309.96727444,4859041.38182121,109,5718093S,Bus,Infodev,57,Southbound,18093,4th St & Arch St,39.952495,-75.146858,Fall 2021,28,36,13,16,12,8
-8365595.27912934,4857356.43483965,110,5718103S,Bus,Infodev,57,Southbound,18103,4th St & Bainbridge St,39.940891,-75.149421,Fall 2021,22,27,11,26,4,7
-8365044.13633042,4860688.41639344,111,5718087S,Bus,Infodev,57,Southbound,18087,4th St & Brown St,39.963836,-75.14447,Fall 2021,8,4,4,5,2,4
-8388063.55987309,4844509.6145343,112,3724960W,Bus,Infodev,37,Westbound,24960,4th St & Caldwell St,39.852352,-75.351257,Fall 2021,0,5,0,3,0,1
-8388081.37099162,4844483.07879885,113,3724876E,Bus,Infodev,37,Eastbound,24876,4th St & Caldwell St,39.852169,-75.351417,Fall 2021,2,1,2,0,1,0
-8365185.95736169,4859805.82982022,114,5718090S,Bus,Infodev,57,Southbound,18090,4th St & Callowhill St,39.957759,-75.145744,Fall 2021,8,11,7,1,1,4
-8365734.53981232,4856542.81405781,115,5718116S,Bus,Infodev,57,Southbound,18116,4th St & Carpenter Way - FS,39.935287,-75.150672,Fall 2021,12,38,4,14,6,7
-8365658.95387807,4856983.58963703,116,5718105S,Bus,Infodev,57,Southbound,18105,4th St & Catharine St,39.938323,-75.149993,Fall 2021,4,7,1,5,0,2
-8365395.68328235,4858522.39233917,117,5718094S,Bus,Infodev,57,Southbound,18094,4th St & Chestnut St,39.948921,-75.147628,Fall 2021,82,25,27,11,15,8
-8365692.12708633,4856792.09086158,118,5718115S,Bus,Infodev,57,Southbound,18115,4th St & Christian St,39.937004,-75.150291,Fall 2021,11,33,5,17,2,11
-8365069.62849381,4860535.47945004,119,5718088S,Bus,Infodev,57,Southbound,18088,4th St & Fairmount Av,39.962783,-75.144699,Fall 2021,14,13,9,2,7,3
-8365635.24282653,4857118.1781723,120,5718104S,Bus,Infodev,57,Southbound,18104,4th St & Fitzwater St,39.93925,-75.14978,Fall 2021,13,21,5,11,5,13
-8364947.28837343,4861295.10399777,121,5718085S,Bus,Infodev,57,Southbound,18085,4th St & George St,39.968013,-75.1436,Fall 2021,66,47,16,3,10,4
-8364904.76432795,4861553.94154422,122,57849S,Bus,Infodev,57,Southbound,849,4th St & Girard Av - FS,39.969795,-75.143218,Fall 2021,31,11,15,6,13,3
-8387785.81774356,4844631.27381178,123,3724878E,Bus,Infodev,37,Eastbound,24878,4th St & Harrah's Blvd,39.853191,-75.348762,Fall 2021,0,0,0,0,0,0
-8387799.39872144,4844642.87429731,124,3724959W,Bus,Infodev,37,Westbound,24959,4th St & Harrah's Blvd - FS,39.853271,-75.348884,Fall 2021,0,1,0,0,1,2
-8387949.68003401,4844548.33073423,125,3724877E,Bus,Infodev,37,Eastbound,24877,4th St & Hinkson St,39.852619,-75.350234,Fall 2021,3,0,1,0,1,0
-8366081.07738716,4854490.61947813,126,5718129S,Bus,Infodev,57,Southbound,18129,4th St & Jackson St,39.92115,-75.153785,Fall 2021,5,44,6,14,3,14
-8365467.92963187,4858116.8326958,127,5718098S,Bus,Infodev,57,Southbound,18098,4th St & Locust St,39.946128,-75.148277,Fall 2021,8,6,2,4,4,2
-8365551.08529149,4857620.54199101,128,5718101S,Bus,Infodev,57,Southbound,18101,4th St & Lombard St,39.94271,-75.149024,Fall 2021,14,21,9,15,7,6
-8365360.06104529,4858748.9205073,129,57850S,Bus,Infodev,57,Southbound,850,4th St & Market St,39.950481,-75.147308,Fall 2021,280,151,126,82,91,63
-8365616.54115208,4857227.94104599,130,5730314S,Bus,Infodev,57,Southbound,30314,4th St & Monroe St,39.940006,-75.149612,Fall 2021,8,20,5,6,4,6
-8365145.21442806,4860059.545457,131,5724971S,Bus,Infodev,57,Southbound,24971,4th St & Noble St,39.959506,-75.145378,Fall 2021,9,5,2,1,1,0
-8366227.12855908,4853579.26567491,132,57853S,Bus,Infodev,57,Southbound,853,4th St & Oregon Av,39.914871,-75.155097,Fall 2021,20,114,12,65,8,44
-8365528.15347639,4857751.3640214,133,5718100S,Bus,Infodev,57,Southbound,18100,4th St & Pine St,39.943611,-75.148818,Fall 2021,18,17,8,8,10,5
-8364999.94249258,4860964.37695173,134,5718086S,Bus,Infodev,57,Southbound,18086,4th St & Poplar St,39.965736,-75.144073,Fall 2021,29,4,15,3,8,3
-8366168.57450693,4853945.74206942,135,5718132S,Bus,Infodev,57,Southbound,18132,4th St & Porter St,39.917396,-75.154571,Fall 2021,6,39,1,15,1,12
-8365675.98576017,4856885.00868438,136,5718114S,Bus,Infodev,57,Southbound,18114,4th St & Queen St,39.937644,-75.150146,Fall 2021,8,24,6,14,2,6
-8365267.44322895,4859302.3389328,137,5718092S,Bus,Infodev,57,Southbound,18092,4th St & Race St,39.954292,-75.146476,Fall 2021,24,14,7,9,7,6
-8366141.41255117,4854127.89674992,138,5718131S,Bus,Infodev,57,Southbound,18131,4th St & Ritner St,39.918651,-75.154327,Fall 2021,1,40,2,16,4,17
-8366197.40625504,4853766.92892877,139,5718133S,Bus,Infodev,57,Southbound,18133,4th St & Shunk St,39.916164,-75.15483,Fall 2021,1,25,2,17,1,7
-8365575.79821845,4857473.31481848,140,5718102S,Bus,Infodev,57,Southbound,18102,4th St & South St,39.941696,-75.149246,Fall 2021,25,36,14,16,10,19
-8365106.14128679,4860304.98919033,141,5718089S,Bus,Infodev,57,Southbound,18089,4th St & Spring Garden St,39.961196,-75.145027,Fall 2021,48,44,25,14,17,14
-8365494.2010317,4857958.99852782,142,5718099S,Bus,Infodev,57,Southbound,18099,4th St & Spruce St,39.945041,-75.148513,Fall 2021,23,14,13,10,4,9
-8388433.02926303,4844202.06535195,143,3724874E,Bus,Infodev,37,Eastbound,24874,4th St & Upland St,39.850231,-75.354576,Fall 2021,1,0,0,0,0,0
-8365223.3607106,4859568.82141177,144,5718091S,Bus,Infodev,57,Southbound,18091,4th St & Vine St,39.956127,-75.14608,Fall 2021,13,9,4,3,6,3
-8365438.20732783,4858302.98440394,145,5718095S,Bus,Infodev,57,Southbound,18095,4th St & Walnut St,39.94741,-75.14801,Fall 2021,42,56,21,23,14,22
-8365438.20732783,4858302.98440394,146,918095S,Bus,Infodev,9,Southbound,18095,4th St & Walnut St,39.94741,-75.14801,Fall 2021,0,36,0,28,0,8
-8365438.20732783,4858302.98440394,147,918095N,Bus,Infodev,9,Northbound,18095,4th St & Walnut St,39.94741,-75.14801,Fall 2021,57,0,37,0,14,0
-8365755.80183506,4856414.91149765,148,57851S,Bus,Infodev,57,Southbound,851,4th St & Washington Av,39.934406,-75.150863,Fall 2021,23,30,12,19,7,16
-8388859.38291277,4843880.17115241,149,3724871E,Bus,Infodev,37,Eastbound,24871,4th St & Welsh St,39.848011,-75.358406,Fall 2021,4,0,3,0,0,0
-8366111.69024713,4854309.47418009,150,5718130S,Bus,Infodev,57,Southbound,18130,4th St & Wolf St,39.919902,-75.15406,Fall 2021,9,40,1,22,3,13
-8363176.52923338,4873053.02209987,151,7022724E,Bus,Infodev,70,Eastbound,22724,5th St & 64th Av,40.048915,-75.127693,Fall 2021,1,4,1,1,2,2
-8363191.78000362,4873065.81920033,152,7022835W,Bus,Infodev,70,Westbound,22835,5th St & 64th Av,40.049003,-75.12783,Fall 2021,5,2,0,3,1,1
-8363176.52923338,4873053.02209987,153,K22724W,Bus,Infodev,K,Westbound,22724,5th St & 64th Av,40.048915,-75.127693,Fall 2021,4,6,3,1,2,0
-8363191.78000362,4873065.81920033,154,K22835E,Bus,Infodev,K,Eastbound,22835,5th St & 64th Av,40.049003,-75.12783,Fall 2021,3,4,0,3,0,0
-8363145.91637341,4873228.40198306,155,7022725E,Bus,Infodev,70,Eastbound,22725,5th St & 65th Av,40.050121,-75.127418,Fall 2021,9,15,4,4,6,4
-8363159.49735129,4873252.83325781,156,7022834W,Bus,Infodev,70,Westbound,22834,5th St & 65th Av,40.050289,-75.12754,Fall 2021,5,15,0,1,2,3
-8363145.91637341,4873228.40198306,157,K22725W,Bus,Infodev,K,Westbound,22725,5th St & 65th Av,40.050121,-75.127418,Fall 2021,11,6,4,2,2,1
-8363159.49735129,4873252.83325781,158,K22834E,Bus,Infodev,K,Eastbound,22834,5th St & 65th Av,40.050289,-75.12754,Fall 2021,9,9,3,8,2,5
-8363108.51302451,4873449.73989673,159,7022726E,Bus,Infodev,70,Eastbound,22726,5th St & 66th Av,40.051643,-75.127082,Fall 2021,76,23,29,12,12,12
-8363122.09400239,4873474.75342777,160,7022833W,Bus,Infodev,70,Westbound,22833,5th St & 66th Av,40.051815,-75.127204,Fall 2021,22,80,6,38,9,19
-8363083.02086112,4873702.64123703,161,7022832W,Bus,Infodev,70,Westbound,22832,5th St & 67th Av,40.053382,-75.126853,Fall 2021,17,13,10,9,8,10
-8363068.6606468,4873678.35428424,162,7032102E,Bus,Infodev,70,Eastbound,32102,5th St & 67th St,40.053215,-75.126724,Fall 2021,5,8,5,5,2,4
-8364128.53351865,4867475.05918903,163,4716258S,Bus,Infodev,47,Southbound,16258,5th St &  Pike St,40.010547,-75.136245,Fall 2021,13,21,13,16,7,7
-8364375.66278821,4865893.453019,164,4726058N,Bus,Infodev,47,Northbound,26058,5th St & Allegheny Av,39.999664,-75.138465,Fall 2021,199,135,113,80,77,45
-8363889.86453039,4868910.53818688,165,4716251S,Bus,Infodev,47,Southbound,16251,5th St & Annsbury St,40.020423,-75.134101,Fall 2021,92,48,54,20,49,17
